Point ID,arc_length,p,Points_0,Points_1,Points_2,Points_Magnitude,U_0,U_1,U_2,U_Magnitude,vtkValidPointMask
85,0.001700,-0.000005,0.050000,0.001700,0.005000,0.050278,0.002258,0.000027,0.000000,0.002258,1
86,0.001720,-0.000005,0.050000,0.001720,0.005000,0.050279,0.002282,0.000028,0.000000,0.002282,1
87,0.001740,-0.000005,0.050000,0.001740,0.005000,0.050279,0.002305,0.000029,0.000000,0.002305,1
88,0.001760,-0.000005,0.050000,0.001760,0.005000,0.050280,0.002329,0.000029,0.000000,0.002329,1
89,0.001780,-0.000005,0.050000,0.001780,0.005000,0.050281,0.002352,0.000030,0.000000,0.002352,1
90,0.001800,-0.000005,0.050000,0.001800,0.005000,0.050282,0.002375,0.000030,0.000000,0.002376,1
91,0.001820,-0.000005,0.050000,0.001820,0.005000,0.050282,0.002399,0.000031,0.000000,0.002399,1
92,0.001840,-0.000005,0.050000,0.001840,0.005000,0.050283,0.002422,0.000032,0.000000,0.002422,1
93,0.001860,-0.000005,0.050000,0.001860,0.005000,0.050284,0.002446,0.000032,0.000000,0.002446,1
94,0.001880,-0.000005,0.050000,0.001880,0.005000,0.050285,0.002469,0.000033,-0.000000,0.002469,1
95,0.001900,-0.000005,0.050000,0.001900,0.005000,0.050285,0.002492,0.000033,-0.000000,0.002493,1
96,0.001920,-0.000005,0.050000,0.001920,0.005000,0.050286,0.002516,0.000034,-0.000000,0.002516,1
97,0.001940,-0.000005,0.050000,0.001940,0.005000,0.050287,0.002538,0.000035,-0.000000,0.002538,1
98,0.001960,-0.000005,0.050000,0.001960,0.005000,0.050288,0.002560,0.000035,-0.000000,0.002560,1
99,0.001980,-0.000005,0.050000,0.001980,0.005000,0.050288,0.002582,0.000036,0.000000,0.002582,1
100,0.002000,-0.000005,0.050000,0.002000,0.005000,0.050289,0.002604,0.000037,0.000000,0.002604,1
101,0.002020,-0.000005,0.050000,0.002020,0.005000,0.050290,0.002626,0.000037,0.000000,0.002626,1
102,0.002040,-0.000005,0.050000,0.002040,0.005000,0.050291,0.002648,0.000038,0.000000,0.002648,1
103,0.002060,-0.000005,0.050000,0.002060,0.005000,0.050292,0.002670,0.000039,0.000000,0.002670,1
104,0.002080,-0.000005,0.050000,0.002080,0.005000,0.050292,0.002692,0.000040,0.000000,0.002692,1
105,0.002100,-0.000005,0.050000,0.002100,0.005000,0.050293,0.002714,0.000040,0.000000,0.002714,1
106,0.002120,-0.000005,0.050000,0.002120,0.005000,0.050294,0.002736,0.000041,0.000000,0.002736,1
107,0.002140,-0.000005,0.050000,0.002140,0.005000,0.050295,0.002758,0.000042,0.000000,0.002758,1
108,0.002160,-0.000005,0.050000,0.002160,0.005000,0.050296,0.002780,0.000042,0.000000,0.002780,1
109,0.002180,-0.000005,0.050000,0.002180,0.005000,0.050297,0.002802,0.000043,0.000000,0.002802,1
110,0.002200,-0.000005,0.050000,0.002200,0.005000,0.050298,0.002824,0.000044,0.000000,0.002824,1
111,0.002220,-0.000005,0.050000,0.002220,0.005000,0.050298,0.002846,0.000044,0.000000,0.002846,1
112,0.002240,-0.000005,0.050000,0.002240,0.005000,0.050299,0.002868,0.000045,0.000000,0.002868,1
113,0.002260,-0.000005,0.050000,0.002260,0.005000,0.050300,0.002890,0.000046,0.000000,0.002890,1
114,0.002280,-0.000005,0.050000,0.002280,0.005000,0.050301,0.002912,0.000046,0.000000,0.002912,1
115,0.002300,-0.000005,0.050000,0.002300,0.005000,0.050302,0.002933,0.000047,0.000000,0.002933,1
116,0.002320,-0.000005,0.050000,0.002320,0.005000,0.050303,0.002953,0.000048,0.000000,0.002954,1
117,0.002340,-0.000005,0.050000,0.002340,0.005000,0.050304,0.002974,0.000048,0.000000,0.002974,1
118,0.002360,-0.000005,0.050000,0.002360,0.005000,0.050305,0.002994,0.000049,0.000000,0.002994,1
119,0.002380,-0.000005,0.050000,0.002380,0.005000,0.050306,0.003014,0.000050,0.000000,0.003015,1
120,0.002400,-0.000005,0.050000,0.002400,0.005000,0.050307,0.003034,0.000050,0.000000,0.003035,1
121,0.002420,-0.000005,0.050000,0.002420,0.005000,0.050308,0.003055,0.000051,0.000000,0.003055,1
122,0.002440,-0.000005,0.050000,0.002440,0.005000,0.050309,0.003075,0.000052,0.000000,0.003075,1
123,0.002460,-0.000005,0.050000,0.002460,0.005000,0.050310,0.003095,0.000053,0.000000,0.003096,1
124,0.002480,-0.000005,0.050000,0.002480,0.005000,0.050311,0.003115,0.000053,0.000000,0.003116,1
125,0.002500,-0.000005,0.050000,0.002500,0.005000,0.050312,0.003136,0.000054,0.000000,0.003136,1
126,0.002520,-0.000005,0.050000,0.002520,0.005000,0.050313,0.003156,0.000055,0.000000,0.003156,1
127,0.002540,-0.000005,0.050000,0.002540,0.005000,0.050314,0.003176,0.000055,0.000000,0.003177,1
128,0.002560,-0.000005,0.050000,0.002560,0.005000,0.050315,0.003197,0.000056,0.000000,0.003197,1
